,id,name,review_count,rating,price_rank
0,2krcy6ooduY4QCHnRAzM-w,Jing's Tattoo,80,4.5,$$
1,amEkAWWagKNlkFuXIcOH5A,Crush Ink,66,5.0,$$
2,HRI3N2_3Jy4YxO3fJ64OXA,Ching Tattoo,28,4.5,$$
3,At4uTuPCpZdB7J1u5N5LfQ,10 Thousand Foxes Tattoo,71,5.0,$$
4,K_EujGkKg0Pcv9lyKxVG0A,Soma Art Tattoo,34,4.5,$
5,qxO8WGvFffj_PjuUbrGwhg,Ink'd Artistry,19,5.0,$$
6,jcV7LZ_Xx-_Zv60iT5DYMg,Yant Studio,12,4.5,
7,CbMb0b7yhbtfhyflUJqkhg,Pete & Cubo's Tattooing & Body Piercing,84,4.5,$$
8,GVXExK_5BIiiiKcrTlGSGQ,Dragonfly 3,40,4.5,$
9,iilXA7Mo0EPR2MzP6PRN2g,Studio 316 Body Art,70,5.0,$$
10,bJ1a-ulgwRSO7s8Qdi6LBA,Club Inked Tattoos,40,4.5,$$
11,oHa_I_TWUoSLYcUxBy9MbQ,Rebel Ink,22,5.0,$$
12,is4zyo5-reuj0cNM1Q7kgw,The Red Parlour Tattoo & Piercing,44,4.5,$$
13,REP4bacbEvVPLWAGCt2gFQ,Studio 28 Tattoos,276,4.5,$$
14,rVmMdMyCHPN5jxYyQMLtyg,Supernova Tattoo,67,4.5,$$
15,jeIXrxQXXKaruIv5hQHFBA,Mean Street Tattoo,62,4.5,$$
16,VECUZKuRACGXzh1XEWHKdg,Sunnyside Tattoo,48,4.5,$$
17,v2lkvCL9ugbrSFosbryFAA,Assassin Tattoo Studio,18,4.0,$$
18,nUKbboS0E_od7ZT-9KcYcw,Beaver Tattoo,66,4.5,$$
19,I0PFpyTv20FX_86AOVH0bA,Top Shelf Tattooing,52,4.0,$$
20,UO_z5skn67WhYb-aex54Gw,Big Bang Ink,80,4.5,$
21,yGFYRI1PFiLnPzbblQXgXg,CJ TATTOO FLUSHING,2,5.0,
22,6yn6gwtbjZeOUFhTyA_hmg,Styx Tattoo,11,4.5,$$$$
23,lxAR_Q7MzxvFfadXebMzGQ,7 Train Tattoo,8,4.0,
24,yDQRGoUqCtieq3S_KcC_oA,Mischief Tattoo,135,4.5,$$
25,f0E_6L_ZHqeKxBD_OtN3nw,True Blue Tattoo,91,4.5,$$
26,2BfEmllT-e2ZYRnyOdAijQ,True Expression,111,5.0,$$
27,ztP04Diw9WQz_vDv52QLAg,Three Kings Tattoo,398,4.5,$$
28,YLTGyNAcugox9DHigcQfZQ,Ozone Tattoo,9,5.0,$$
29,M2fGTixoTqwfBKs_-53oPQ,StayOnPoint Tattoo Studio,34,4.5,$$
30,ZESeJGOXwj1wXSPLUH440g,The Queens Ink Tattoo,16,5.0,$$
31,wh7tZTmjUd674AvEvqEgoA,Tattoo Alley,14,4.5,$$
32,pa0Wq4QmRMHGkp6JUf_x3w,TJ Tattoo,19,4.0,$$
33,wIDSJVb9btcPCArpQT5g_w,Chino Rican Tattoo & Body Art,22,4.5,$$
34,NR24uDrPm7EsEHBtHT-F_Q,Village Tattoo NYC,406,4.5,$$
35,Da6PaDV7i9z1egXhV_ftGg,R & D Tattooing,30,4.5,$$
